"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2017-10-01,981309.626997601,0,236646.242700154,0,871248.694484182,186,22777,64817,0,0.724230534,0,71.05,4469290.48,16467460.92,29.95714286,0.428392408,0.439820951,201740,28760744.5718111
2017-10-08,1204435.82873693,0,492336.787167255,0,780996.436933008,186,22905.3,290340,0,0.810315795,0,54.74428571,3424971.775,9855485.516,7.314285714,0.396890341,0.511644579,201741,32486467.6281769
2017-10-15,1321570.32178723,0,291885.337759912,0,932173.87944655,186,23328.8,824941,0,0.778178861,0,54.31142857,15027134.75,18126310.52,9.5,0.440409765,0.394800368,201742,33904425.9410866
2017-10-22,215521.517769663,0,110500.832010993,0,683081.470091266,186,23485.3,591291,1,0.804275281,0,68.30285714,11471088.76,15791697.63,30.48571429,0.404397369,0.413794112,201743,33356398.7235219
2017-10-29,97991.9200373906,0,58135.3592883982,175435.801521219,539848.523207981,186,23557.1,554888.8674,0,0.817914628,0,63.86428571,18760937.5,23241219.01,19.72857143,0.500315102,0.452293688,201744,36785574.1060635
2017-11-05,0,0,0,220840.616895484,314046.128998967,186,23602.1,131573.2143,0,0.749231456,0,71.79571429,5086584.225,23933142.54,18.38571429,0.42877197,0.408833424,201745,35601662.107116
2017-11-12,0,0,1249048.56095777,239476.238970622,481156.659013917,186,23492.2,1099515.788,1,0.852458161,0,70.50571429,10521775.67,15343417.26,27.14285714,0.418410492,0.390508835,201746,36030203.4318601
2017-11-19,0,0,0,241899.431919347,449257.559978167,186,23617.8,6765883.217,0,0.805729311,0,71.83,11029031.53,11523171.12,18.54285714,0.398873521,0.419713267,201747,36886396.3484014
2017-11-26,0,0,378117.764142906,63316.6313675048,446691.084160576,185,24327.8,1976698.908,0,0.798979344,0,72.14714286,3723221.643,17477995.67,25.07142857,0.364654869,0.463164945,201748,38496018.6904546
2017-12-03,0,0,444317.804014036,0,411131.471036615,184,24534,500573.2143,0,0.783603151,0,72.71857143,2346690.081,20785030.85,15.14285714,0.355060855,0.410442783,201749,37031914.9668836
2017-12-10,0,0,550687.666863615,0,5529165.27984058,184,24688.6,3944434.214,0,0.624552766,0,72.13428571,1796988.711,19864329.46,17.18571429,0.429804609,0.42843539,201750,37141102.838178
2017-12-17,0,0,672355.570594773,0,945844.381425112,184,24876.1,131573.2143,1,0.789825309,0,69.87857143,1636175.124,17074773.41,11.48571429,0.425215654,0.45946303,201751,36953737.8696215
2017-12-24,0,0,0,0,757751.205605802,184,24871.7,89478.82244,3,0.804220527,1,69.7225,518196.1787,6785016.81,16.375,0.441270709,0.468014583,201752,31017439.785862
2017-12-31,0,0,0,0,170547.960463256,181,25299.8,208299.1657,1,0.800084579,0,71.94625,1135654.788,471098.5411,21.225,0.485117311,0.433197796,201801,35457870.3334159
2018-01-07,0,0,0,0,167263.514082515,184,25810.4,182091.0259,0,0.740851514,0,69.69285714,6143311.546,7133212.867,9.814285714,0.442737736,0.289195498,201802,37217377.7765975
2018-01-14,0,0,0,0,340983.739413119,184,26153.4,182091.0259,0,0.73523765,0,76.74142857,4633176.594,5641497.036,20.84285714,0.448952846,0.415620643,201803,36812338.7069329
2018-01-21,0,0,0,0,450174.45150518,184,26616.7,5202933.026,0,0.8137405,0,66.16285714,4622723.34,878372.844,9.885714286,0.443118217,0.398952921,201804,39154268.6802679
2018-01-28,0,0,0,0,593395.405377587,183,26608.9,3453239,0,0.793438919,0,69.77857143,1357742.215,1749333.856,10.77142857,0.435643577,0.508475604,201805,39439328.4048466
2018-02-04,0,0,0,0,728319.357146153,183,25520.5,3679301,0,0.759765459,0,69.01142857,9470676.898,11664488.52,5.857142857,0.457247246,0.357323807,201806,38952431.0827783
2018-02-11,0,0,0,0,403532.633720268,183,25432.4,4794784,0,0.828528547,0,72.61571429,7218654.569,9214047.302,6.028571429,0.455126487,0.495880301,201807,38830451.0382458
2018-02-18,0,0,499135.76284142,0,588922.942377369,183,25313.9,2259095,0,0.779146956,0,68.65714286,10845415.68,12071481.99,2.557142857,0.420289454,0.468977155,201808,39107733.9255194
2018-02-25,0,0,0,0,193111.34848433,183,25800.3,3173017,0,0.743389886,0,72.81142857,6200716.467,13679471.23,2.8,0.557268703,0.456992568,201809,37322835.0843261
